Image size,Timesteps,Channels,Rows,Visibilities,Input payload est. (GiB),Output payload est. (GiB),Total payload est. (GiB),CPU Darshan run time (s),CPU Darshan POSIX transferred (MiB),CPU Darshan POSIX throughput (MiB/s),CPU Darshan STDIO transferred (MiB),CPU Darshan STDIO throughput (MiB/s),CPU Darshan MS read (GiB),CPU Darshan FITS writes (GiB),CPU Darshan named output writes (GiB),CPU Darshan total I/O (GiB),CPU Darshan runs,GPU Darshan run time (s),GPU Darshan POSIX transferred (MiB),GPU Darshan POSIX throughput (MiB/s),GPU Darshan STDIO transferred (MiB),GPU Darshan STDIO throughput (MiB/s),GPU Darshan MS read (GiB),GPU Darshan FITS writes (GiB),GPU Darshan named output writes (GiB),GPU Darshan total I/O (GiB),GPU Darshan runs
8192,256,1,33488896,33488896,0.24951171875,0.25,0.49951171875,,,,,,,,,,,,,,,,,,,,
8192,256,8,33488896,267911168,1.99609375,0.25,2.24609375,,,,,,,,,,,,,,,,,,,,
8192,256,64,33488896,2143289344,15.96875,0.25,16.21875,,,,,,,,,,,,,,,,,,,,
8192,256,128,33488896,4286578688,31.9375,0.25,32.1875,,,,,,,,,,,,,,,,,,,,
8192,256,256,33488896,8573157376,63.875,0.25,64.125,,,,,,,,,,,,,,,,,,,,
16384,1,1,130816,130816,0.0009746551513671875,1.0,1.0009746551513672,,,,,,,,,,,,,,,,,,,,
16384,1,8,130816,1046528,0.0077972412109375,1.0,1.0077972412109375,,,,,,,,,,,,,,,,,,,,
16384,1,64,130816,8372224,0.0623779296875,1.0,1.0623779296875,,,,,,,,,,,,,,,,,,,,
16384,1,128,130816,16744448,0.124755859375,1.0,1.124755859375,,,,,,,,,,,,,,,,,,,,
16384,1,256,130816,33488896,0.24951171875,1.0,1.24951171875,,,,,,,,,,,,,,,,,,,,
16384,8,1,1046528,1046528,0.0077972412109375,1.0,1.0077972412109375,,,,,,,,,,,,,,,,,,,,
16384,8,8,1046528,8372224,0.0623779296875,1.0,1.0623779296875,,,,,,,,,,,,,,,,,,,,
16384,8,64,1046528,66977792,0.4990234375,1.0,1.4990234375,,,,,,,,,,,,,,,,,,,,
16384,8,128,1046528,133955584,0.998046875,1.0,1.998046875,,,,,,,,,,,,,,,,,,,,
16384,8,256,1046528,267911168,1.99609375,1.0,2.99609375,,,,,,,,,,,,,,,,,,,,
16384,64,1,8372224,8372224,0.0623779296875,1.0,1.0623779296875,,,,,,,,,,,,,,,,,,,,
16384,64,8,8372224,66977792,0.4990234375,1.0,1.4990234375,,,,,,,,,,,,,,,,,,,,
16384,64,64,8372224,535822336,3.9921875,1.0,4.9921875,,,,,,,,,,,,,,,,,,,,
16384,64,128,8372224,1071644672,7.984375,1.0,8.984375,,,,,,,,,,,,,,,,,,,,
16384,64,256,8372224,2143289344,15.96875,1.0,16.96875,,,,,,,,,,,,,,,,,,,,
16384,128,1,16744448,16744448,0.124755859375,1.0,1.124755859375,,,,,,,,,,,,,,,,,,,,
16384,128,8,16744448,133955584,0.998046875,1.0,1.998046875,,,,,,,,,,,,,,,,,,,,
16384,128,64,16744448,1071644672,7.984375,1.0,8.984375,,,,,,,,,,,,,,,,,,,,
16384,128,128,16744448,2143289344,15.96875,1.0,16.96875,,,,,,,,,,,,,,,,,,,,
16384,128,256,16744448,4286578688,31.9375,1.0,32.9375,,,,,,,,,,,,,,,,,,,,
16384,256,1,33488896,33488896,0.24951171875,1.0,1.24951171875,,,,,,,,,,,,,,,,,,,,
16384,256,8,33488896,267911168,1.99609375,1.0,2.99609375,,,,,,,,,,,,,,,,,,,,
16384,256,64,33488896,2143289344,15.96875,1.0,16.96875,,,,,,,,,,,,,,,,,,,,
16384,256,128,33488896,4286578688,31.9375,1.0,32.9375,,,,,,,,,,,,,,,,,,,,
16384,256,256,33488896,8573157376,63.875,1.0,64.875,11793.4201,1070036.2199554443,90.73162923751393,2048.1646728515625,0.17367011905660534,1044.9572460502386,2.0001474022865295,2.0001474022865295,1046.9574068635702,1.0,4203.031349999999,1070036.2199440002,254.5949137586578,2055.9417209625244,0.48917251153305563,1044.9572460390627,2.0001474022865295,2.0001474022865295,1046.9650016259402,2.0
32768,1,1,130816,130816,0.0009746551513671875,4.0,4.000974655151367,,,,,,,,,,,,,,,,,,,,
32768,1,8,130816,1046528,0.0077972412109375,4.0,4.0077972412109375,,,,,,,,,,,,,,,,,,,,
32768,1,64,130816,8372224,0.0623779296875,4.0,4.0623779296875,,,,,,,,,,,,,,,,,,,,
32768,1,128,130816,16744448,0.124755859375,4.0,4.124755859375,,,,,,,,,,,,,,,,,,,,
32768,1,256,130816,33488896,0.24951171875,4.0,4.24951171875,,,,,,,,,,,,,,,,,,,,
32768,8,1,1046528,1046528,0.0077972412109375,4.0,4.0077972412109375,,,,,,,,,,,,,,,,,,,,
32768,8,8,1046528,8372224,0.0623779296875,4.0,4.0623779296875,,,,,,,,,,,,,,,,,,,,
32768,8,64,1046528,66977792,0.4990234375,4.0,4.4990234375,,,,,,,,,,,,,,,,,,,,
32768,8,128,1046528,133955584,0.998046875,4.0,4.998046875,,,,,,,,,,,,,,,,,,,,
32768,8,256,1046528,267911168,1.99609375,4.0,5.99609375,,,,,,,,,,,,,,,,,,,,
32768,64,1,8372224,8372224,0.0623779296875,4.0,4.0623779296875,,,,,,,,,,,,,,,,,,,,
32768,64,8,8372224,66977792,0.4990234375,4.0,4.4990234375,,,,,,,,,,,,,,,,,,,,
32768,64,64,8372224,535822336,3.9921875,4.0,7.9921875,,,,,,,,,,,,,,,,,,,,
32768,64,128,8372224,1071644672,7.984375,4.0,11.984375,,,,,,,,,,,,,,,,,,,,
32768,64,256,8372224,2143289344,15.96875,4.0,19.96875,,,,,,,,,,,,,,,,,,,,
32768,128,1,16744448,16744448,0.124755859375,4.0,4.124755859375,,,,,,,,,,,,,,,,,,,,
32768,128,8,16744448,133955584,0.998046875,4.0,4.998046875,,,,,,,,,,,,,,,,,,,,
32768,128,64,16744448,1071644672,7.984375,4.0,11.984375,,,,,,,,,,,,,,,,,,,,
32768,128,128,16744448,2143289344,15.96875,4.0,19.96875,,,,,,,,,,,,,,,,,,,,
32768,128,256,16744448,4286578688,31.9375,4.0,35.9375,,,,,,,,,,,,,,,,,,,,
32768,256,1,33488896,33488896,0.24951171875,4.0,4.24951171875,,,,,,,,,,,,,,,,,,,,
32768,256,8,33488896,267911168,1.99609375,4.0,5.99609375,,,,,,,,,,,,,,,,,,,,
32768,256,64,33488896,2143289344,15.96875,4.0,19.96875,,,,,,,,,,,,,,,,,,,,
32768,256,128,33488896,4286578688,31.9375,4.0,35.9375,,,,,,,,,,,,,,,,,,,,
32768,256,256,33488896,8573157376,63.875,4.0,67.875,,,,,,,,,,,,,,,,,,,,
