Image Size,Timesteps,Channels,Location,Mvis,Mvis/h,Mvis/kWh,Mvis/kgCO2,Mvis/$,Power (W),Time (s),Energy (Wh),Dynamic Energy (Wh),Static Energy (Wh),Dynamic Power (%),Static Power (%),Operational Carbon (%),Embodied Carbon (%),Total Carbon (g CO2),Operational Cost (%),Capital Cost (%),Total Cost ($),operational_carbon,embodied_carbon,operational_cost,capital_cost
32768,1,64,WA,8.37,367.52,1366.59,3749.11,486.97,268.93,82.01,6.13,1.1061444444444444,5.020213104791669,18.1,81.9,88.1,11.9,2.23,9.6,90.4,0.02,1.9646299999999999,0.26537,0.00192,0.01808
32768,8,64,SA,66.98,2188.62,8146.34,11384.66,2985.3,268.66,110.17,8.22,1.4778055555555556,6.7440175314583355,18.0,82.0,93.9,6.1,5.88,7.0,93.0,0.02,5.52132,0.35867999999999994,0.0014000000000000002,0.018600000000000002
32768,8,64,WA,66.98,2188.62,8146.34,22346.05,2900.27,268.66,110.17,8.22,1.4778055555555556,6.7440175314583355,18.0,82.0,88.1,11.9,3.0,9.6,90.4,0.02,2.6429999999999993,0.35700000000000004,0.00192,0.01808
32768,64,64,SA,535.82,5212.42,19776.46,27605.48,7119.2,263.57,370.07,27.09,4.440241666666666,22.65370398354167,16.4,83.6,93.8,6.2,19.41,6.8,93.2,0.08,18.20658,1.20342,0.00544,0.07456
32768,64,64,WA,535.82,5212.42,19776.46,54123.35,6919.91,263.57,370.07,27.09,4.440241666666666,22.65370398354167,16.4,83.6,87.8,12.2,9.9,9.4,90.6,0.08,8.6922,1.2078,0.00752,0.07247999999999999
32768,128,64,SA,1071.64,5860.79,22416.17,31274.53,8009.13,261.45,658.26,47.81,7.511611111111112,40.295152766250006,15.7,84.3,93.8,6.2,34.27,6.8,93.2,0.13,32.14526,2.12474,0.00884,0.12116000000000002
32768,128,64,WA,1071.64,5860.79,22416.17,61287.4,7786.57,261.45,658.26,47.81,7.511611111111112,40.295152766250006,15.7,84.3,87.8,12.2,17.49,9.4,90.6,0.14,15.356219999999999,2.13378,0.013160000000000003,0.12684
32768,256,64,SA,2143.29,6185.09,23811.14,33207.2,8456.05,259.76,1247.49,90.01,13.647388888888887,76.36465853062502,15.2,84.8,93.7,6.3,64.54,6.7,93.3,0.25,60.47398000000001,4.06602,0.01675,0.23324999999999999
32768,256,64,WA,2143.29,6185.09,23811.14,65049.33,8222.44,259.76,1247.49,90.01,13.647388888888887,76.36465853062502,15.2,84.8,87.7,12.3,32.95,9.3,90.7,0.26,28.89715,4.052850000000001,0.02418,0.23582
32768,1,128,SA,16.74,715.32,2682.92,3747.68,976.22,266.62,84.27,6.24,1.0825694444444445,5.158558204375002,17.3,82.7,93.9,6.1,4.47,6.9,93.1,0.02,4.19733,0.27266999999999997,0.0013800000000000002,0.018619999999999998
32768,1,128,WA,16.74,715.32,2682.92,7352.73,948.61,266.62,84.27,6.24,1.0825694444444445,5.158558204375002,17.3,82.7,88.0,12.0,2.28,9.5,90.5,0.02,2.0063999999999997,0.2736,0.0019,0.0181
32768,8,128,SA,133.96,2927.99,11032.17,15406.15,3997.18,265.4,164.7,12.14,2.0602222222222224,10.082052168750003,17.0,83.0,93.8,6.2,8.69,6.9,93.1,0.03,8.15122,0.53878,0.00207,0.027929999999999996
32768,8,128,WA,133.96,2927.99,11032.17,30217.77,3884.59,265.4,164.7,12.14,2.0602222222222224,10.082052168750003,17.0,83.0,87.9,12.1,4.43,9.5,90.5,0.03,3.89397,0.5360299999999999,0.0028499999999999997,0.027149999999999997
32768,64,128,SA,1071.64,6308.22,24192.99,33747.78,8622.17,260.75,611.57,44.3,6.858625,37.43704095229168,15.5,84.5,93.7,6.3,31.75,6.8,93.2,0.12,29.74975,2.00025,0.008159999999999999,0.11184
32768,64,128,WA,1071.64,6308.22,24192.99,66123.39,8383.16,260.75,611.57,44.3,6.858625,37.43704095229168,15.5,84.5,87.7,12.3,16.21,9.4,90.6,0.13,14.216170000000002,1.99383,0.012220000000000002,0.11778000000000001
32768,128,128,SA,2143.29,6845.75,26330.76,36723.17,9358.7,259.99,1127.1,81.4,12.403661111111113,68.99502731875002,15.2,84.8,93.7,6.3,58.36,6.8,93.2,0.23,54.68332,3.67668,0.01564,0.21436
32768,128,128,WA,2143.29,6845.75,26330.76,71940.63,9099.95,259.99,1127.1,81.4,12.403661111111113,68.99502731875002,15.2,84.8,87.7,12.3,29.79,9.3,90.7,0.24,26.12583,3.6641700000000004,0.022320000000000003,0.21768
32768,256,128,SA,4286.58,6660.83,25571.62,35668.59,9104.76,260.48,2316.78,167.63,25.80945,141.82086717375006,15.4,84.6,93.7,6.3,120.18,6.8,93.2,0.47,112.60866000000001,7.57134,0.031959999999999995,0.43804000000000004
32768,256,128,WA,4286.58,6660.83,25571.62,69882.58,8852.6,260.48,2316.78,167.63,25.80945,141.82086717375006,15.4,84.6,87.7,12.3,61.34,9.3,90.7,0.48,53.79518,7.5448200000000005,0.044640000000000006,0.43536
