image_size,timesteps,channels,idg_stage_gb_total,gridder_gb_total,subfft_gb_total,host_joules_total,device_joules_total,host_gb_per_j,device_gb_per_j,host_event_count,device_event_count,gridder_event_count,subfft_event_count,n_runs
16384,128,256,811.754507409,521.6443111,290.110196309,1025.79,1098.9299999999998,0.7913457017605943,0.7386771745324999,16.0,16.0,16.0,16.0,1
16384,256,1,438.31020808,267.6278526,170.68235548,88.81,109.03,4.935369981758811,4.020088123268825,1.0,1.0,1.0,1.0,1
16384,256,8,458.2241983,281.22287291000004,177.00132538999998,136.78,173.1,3.3500818708875566,2.6471646348931257,2.0,2.0,2.0,2.0,1
16384,256,64,603.232542613,381.27882632999996,221.953716283,552.61,532.23,1.091606273163714,1.1334057505458166,10.0,10.0,10.0,10.0,1
16384,256,128,791.0793196520001,509.11718179999997,281.96213785200007,1097.74,966.6899999999999,0.7206436129247363,0.8183381638912166,19.0,19.0,19.0,19.0,1
16384,256,256,1236.489032173,807.3058624,429.183169773,2049.5499999999997,2113.51,0.6032978127749994,0.5850405402259747,32.0,32.0,32.0,32.0,1
32768,1,1,21.97241937,13.3994388,8.57298057,29.65,19.91,0.7410596752107926,1.1035871104972377,1.0,1.0,1.0,1.0,1
32768,1,8,21.9871451025,13.413962399999999,8.5731827025,24.83,17.67,0.8855072534232784,1.2443206056876062,1.0,1.0,1.0,1.0,1
32768,1,64,22.1042754,13.53109716,8.57317824,23.85,16.14,0.9268039999999999,1.3695337918215613,1.0,1.0,1.0,1.0,1
32768,1,128,22.274411571999998,13.687074840000001,8.587336731999999,23.72,16.23,0.9390561370994941,1.3724221547751076,1.0,1.0,1.0,1.0,1
32768,1,256,24.295137564,15.02381929,9.271318274,27.45,19.02,0.8850687637158471,1.2773468750788644,1.0,1.0,1.0,1.0,1
32768,8,1,114.905022411,70.07570865000001,44.829313761,35.31,26.37,3.254177921580289,4.357414577588169,1.0,1.0,1.0,1.0,1
32768,8,8,115.042323786,70.204992,44.837331786,32.35,22.23,3.556176933106646,5.175093287719298,1.0,1.0,1.0,1.0,1
32768,8,64,116.130180074,71.234387,44.895793074,33.73,22.66,3.442934481885562,5.124897620211827,1.0,1.0,1.0,1.0,1
32768,8,128,117.66442466,72.58722399999999,45.07720066,43.43,34.25,2.709289078056643,3.4354576543065694,1.0,1.0,1.0,1.0,1
