Image size,Timesteps,Channels,Visibilities,Rows,Pixels,Mvis,Input on-disk est. bytes,Output bytes,Input + Output bytes,Input on-disk est. (GiB),Output (GiB),Input + Output (GiB),idg_stage_gb_total,gridder_gb_total,subfft_gb_total,host_joules_total,device_joules_total,host_gb_per_j,device_gb_per_j,host_event_count,device_event_count,gridder_event_count,subfft_event_count,n_runs,Input on-disk measured (GiB),Input + Output measured (GiB)
8192,1,256,33488896,130816,67108864,33.488896,267911168,268435456,536346624,0.24951171875,0.25,0.49951171875,19.38198953,11.999057379999998,7.382932150000001,26.55,18.33,0.7300184380414312,1.0573916819421714,1.0,1.0,1.0,1.0,1,1.1,1.35
8192,8,256,267911168,1046528,67108864,267.911168,2143289344,268435456,2411724800,1.99609375,0.25,2.24609375,95.326370924,59.57088079999999,35.755490124,58.43,75.78,1.6314627917850415,1.257935747215624,1.0,1.0,1.0,1.0,1,8.2,8.45
8192,64,256,2143289344,8372224,67108864,2143.289344,17146314752,268435456,17414750208,15.96875,0.25,16.21875,326.661225476,210.745298,115.915927476,468.55,446.41,0.6971747422388219,0.7317515859322149,8.0,8.0,8.0,8.0,1,66.0,66.25
8192,128,256,4286578688,16744448,67108864,4286.578688,34292629504,268435456,34561064960,31.9375,0.25,32.1875,500.208051505,328.12910569999997,172.078945805,952.33,845.8399999999999,0.5252465547709302,0.5913743160704152,16.0,15.0,16.0,16.0,1,131.0,131.25
8192,256,256,8573157376,33488896,67108864,8573.157376,68585259008,268435456,68853694464,63.875,0.25,64.125,829.0052278957,551.7360160000001,277.2692118957,1879.22,1667.39,0.441143255124839,0.4971873574242979,32.0,32.0,32.0,32.0,1,262.0,262.25
32768,1,1,130816,130816,1073741824,0.130816,1046528,4294967296,4296013824,0.0009746551513671,4.0,4.000974655151367,21.97241937,13.3994388,8.57298057,29.65,19.91,0.7410596752107926,1.1035871104972377,1.0,1.0,1.0,1.0,1,0.0126953125,4.0126953125
32768,8,1,1046528,1046528,1073741824,1.046528,8372224,4294967296,4303339520,0.0077972412109375,4.0,4.0077972412109375,114.905022411,70.07570865000001,44.829313761,35.31,26.37,3.254177921580289,4.357414577588169,1.0,1.0,1.0,1.0,1,0.0947265625,4.0947265625
32768,64,1,8372224,8372224,1073741824,8.372224,66977792,4294967296,4361945088,0.0623779296875,4.0,4.0623779296875,325.10632158,198.3266025,126.77971908,64.02,52.95,5.078199337394564,6.139873873087818,1.0,1.0,1.0,1.0,1,0.75390625,4.75390625
32768,128,1,16744448,16744448,1073741824,16.744448,133955584,4294967296,4428922880,0.124755859375,4.0,4.124755859375,390.1137396,238.06010599999996,152.0536336,77.5,102.79,5.033725672258064,3.7952499231442745,1.0,1.0,1.0,1.0,1,1.6,5.6
32768,256,1,33488896,33488896,1073741824,33.488896,267911168,4294967296,4562878464,0.24951171875,4.0,4.24951171875,445.2281890400001,271.84723840000004,173.38095064,87.63,96.95,5.08077358256305,4.59234852026818,1.0,1.0,1.0,1.0,1,3.1,7.1
32768,1,8,1046528,130816,1073741824,1.046528,8372224,4294967296,4303339520,0.0077972412109375,4.0,4.0077972412109375,21.9871451025,13.4139624,8.5731827025,24.83,17.67,0.8855072534232784,1.2443206056876062,1.0,1.0,1.0,1.0,1,0.0400390625,4.0400390625
32768,8,8,8372224,1046528,1073741824,8.372224,66977792,4294967296,4361945088,0.0623779296875,4.0,4.0623779296875,115.042323786,70.204992,44.837331786,32.35,22.23,3.556176933106646,5.175093287719298,1.0,1.0,1.0,1.0,1,0.31640625,4.31640625
32768,64,8,66977792,8372224,1073741824,66.977792,535822336,4294967296,4830789632,0.4990234375,4.0,4.4990234375,326.7495503,199.6946886,127.0548617,68.19,89.56,4.79175172752603,3.6483871181330954,1.0,1.0,1.0,1.0,1,2.6,6.6
32768,128,8,133955584,16744448,1073741824,133.955584,1071644672,4294967296,5366611968,0.998046875,4.0,4.998046875,394.6206763,241.53686080000003,153.0838155,88.34,115.19,4.46706674552864,3.425824084555951,1.0,1.0,1.0,1.0,1,5.1,9.1
32768,256,8,267911168,33488896,1073741824,267.911168,2143289344,4294967296,6438256640,1.99609375,4.0,5.99609375,465.149534516,285.45814255000005,179.691391966,137.37,166.32,3.386107115935066,2.7967143729918233,2.0,2.0,2.0,2.0,1,11.0,15.0
32768,1,64,8372224,130816,1073741824,8.372224,66977792,4294967296,4361945088,0.0623779296875,4.0,4.0623779296875,22.1042754,13.53109716,8.57317824,23.85,16.14,0.926804,1.369533791821561,1.0,1.0,1.0,1.0,1,0.2626953125,4.2626953125
32768,8,64,66977792,1046528,1073741824,66.977792,535822336,4294967296,4830789632,0.4990234375,4.0,4.4990234375,116.130180074,71.234387,44.895793074,33.73,22.66,3.442934481885562,5.124897620211827,1.0,1.0,1.0,1.0,1,2.1,6.1
32768,64,64,535822336,8372224,1073741824,535.822336,4286578688,4294967296,8581545984,3.9921875,4.0,7.9921875,363.22652629,224.86370034,138.36282595,160.14,186.55,2.26818113082303,1.9470733116590724,3.0,3.0,3.0,3.0,1,17.0,21.0
32768,128,64,1071644672,16744448,1073741824,1071.644672,8573157376,4294967296,12868124672,7.984375,4.0,11.984375,468.8564632,292.6584978,176.1979654,278.09,292.57000000000005,1.685988216764357,1.6025445643777556,5.0,5.0,5.0,5.0,1,34.0,38.0
32768,256,64,2143289344,33488896,1073741824,2143.289344,17146314752,4294967296,21441282048,15.96875,4.0,19.96875,610.1677972099999,385.5935015199999,224.57429569,557.6800000000001,563.11,1.09411812725936,1.083567681643018,10.0,10.0,10.0,10.0,1,67.0,71.0
32768,1,128,16744448,130816,1073741824,16.744448,133955584,4294967296,4428922880,0.124755859375,4.0,4.124755859375,22.274411572,13.68707484,8.587336731999999,23.72,16.23,0.939056137099494,1.3724221547751076,1.0,1.0,1.0,1.0,1,0.515625,4.515625
32768,8,128,133955584,1046528,1073741824,133.955584,1071644672,4294967296,5366611968,0.998046875,4.0,4.998046875,117.66442466,72.58722399999999,45.07720066,43.43,34.25,2.709289078056643,3.43545765430657,1.0,1.0,1.0,1.0,1,4.2,8.2
32768,64,128,1071644672,8372224,1073741824,1071.644672,8573157376,4294967296,12868124672,7.984375,4.0,11.984375,411.429477509,257.60415624,153.825321269,283.26,231.36,1.4524799742603969,1.7783085991917358,5.0,4.0,5.0,5.0,1,33.0,37.0
32768,128,128,2143289344,16744448,1073741824,2143.289344,17146314752,4294967296,21441282048,15.96875,4.0,19.96875,575.6146928339999,364.44473836,211.169954474,561.8,558.74,1.0245900548843003,1.0302013330600994,10.0,10.0,10.0,10.0,1,66.0,70.0
32768,256,128,4286578688,33488896,1073741824,4286.578688,34292629504,4294967296,38587596800,31.9375,4.0,35.9375,784.9191859660001,514.9556884000001,269.963497566,1098.5,1058.96,0.7145372653309059,0.7412170298840373,19.0,19.0,19.0,18.0,1,132.0,136.0
32768,1,256,33488896,130816,1073741824,33.488896,267911168,4294967296,4562878464,0.24951171875,4.0,4.24951171875,24.295137564,15.02381929,9.271318274,27.45,19.02,0.8850687637158471,1.2773468750788644,1.0,1.0,1.0,1.0,1,1.1,5.1
32768,8,256,267911168,1046528,1073741824,267.911168,2143289344,4294967296,6438256640,1.99609375,4.0,5.99609375,134.13956193,83.4692288,50.67033313,65.28,88.11,2.054833975643382,1.5224101910112358,1.0,1.0,1.0,1.0,1,8.2,12.2
32768,64,256,2143289344,8372224,1073741824,2143.289344,17146314752,4294967296,21441282048,15.96875,4.0,19.96875,574.808365085,363.9155148,210.892850285,520.09,530.8399999999999,1.105209415841489,1.0828279049902043,8.0,8.0,8.0,8.0,1,66.0,70.0
32768,128,256,4286578688,16744448,1073741824,4286.578688,34292629504,4294967296,38587596800,31.9375,4.0,35.9375,832.5867090920001,534.5163682,298.07034089200005,1026.37,1135.38,0.8111954841743233,0.7333110580528105,16.0,16.0,16.0,16.0,1,131.0,135.0
32768,256,256,8573157376,33488896,1073741824,8573.157376,68585259008,4294967296,72880226304,63.875,4.0,67.875,1264.8014124699998,824.9066476999999,439.89476477000005,2061.98,2194.29,0.6133916975285889,0.5764057679112605,32.0,32.0,32.0,32.0,1,262.0,266.0
