Image size,Timesteps,Channels,Visibilities,Rows,Pixels,Mvis,Input on-disk est. bytes,Output bytes,Input + Output bytes,Input on-disk est. (GiB),Output (GiB),Input + Output (GiB)
16384,8,8,8372224,1046528,268435456,8.372224,66977792,1073741824,1140719616,0.0623779296875,1.0,1.0623779296875
16384,8,64,66977792,1046528,268435456,66.977792,535822336,1073741824,1609564160,0.4990234375,1.0,1.4990234375
16384,8,128,133955584,1046528,268435456,133.955584,1071644672,1073741824,2145386496,0.998046875,1.0,1.998046875
16384,8,256,267911168,1046528,268435456,267.911168,2143289344,1073741824,3217031168,1.99609375,1.0,2.99609375
16384,64,1,8372224,8372224,268435456,8.372224,66977792,1073741824,1140719616,0.0623779296875,1.0,1.0623779296875
16384,64,8,66977792,8372224,268435456,66.977792,535822336,1073741824,1609564160,0.4990234375,1.0,1.4990234375
16384,64,64,535822336,8372224,268435456,535.822336,4286578688,1073741824,5360320512,3.9921875,1.0,4.9921875
16384,64,128,1071644672,8372224,268435456,1071.644672,8573157376,1073741824,9646899200,7.984375,1.0,8.984375
16384,64,256,2143289344,8372224,268435456,2143.289344,17146314752,1073741824,18220056576,15.96875,1.0,16.96875
16384,128,1,16744448,16744448,268435456,16.744448,133955584,1073741824,1207697408,0.124755859375,1.0,1.124755859375
16384,128,8,133955584,16744448,268435456,133.955584,1071644672,1073741824,2145386496,0.998046875,1.0,1.998046875
16384,128,64,1071644672,16744448,268435456,1071.644672,8573157376,1073741824,9646899200,7.984375,1.0,8.984375
16384,128,128,2143289344,16744448,268435456,2143.289344,17146314752,1073741824,18220056576,15.96875,1.0,16.96875
16384,128,256,4286578688,16744448,268435456,4286.578688,34292629504,1073741824,35366371328,31.9375,1.0,32.9375
16384,256,1,33488896,33488896,268435456,33.488896,267911168,1073741824,1341652992,0.24951171875,1.0,1.24951171875
16384,256,8,267911168,33488896,268435456,267.911168,2143289344,1073741824,3217031168,1.99609375,1.0,2.99609375
16384,256,64,2143289344,33488896,268435456,2143.289344,17146314752,1073741824,18220056576,15.96875,1.0,16.96875
16384,256,128,4286578688,33488896,268435456,4286.578688,34292629504,1073741824,35366371328,31.9375,1.0,32.9375
16384,256,256,8573157376,33488896,268435456,8573.157376,68585259008,1073741824,69659000832,63.875,1.0,64.875
32768,1,1,130816,130816,1073741824,0.130816,1046528,4294967296,4296013824,0.0009746551513671875,4.0,4.000974655151367
32768,1,8,1046528,130816,1073741824,1.046528,8372224,4294967296,4303339520,0.0077972412109375,4.0,4.0077972412109375
32768,1,64,8372224,130816,1073741824,8.372224,66977792,4294967296,4361945088,0.0623779296875,4.0,4.0623779296875
32768,1,128,16744448,130816,1073741824,16.744448,133955584,4294967296,4428922880,0.124755859375,4.0,4.124755859375
32768,1,256,33488896,130816,1073741824,33.488896,267911168,4294967296,4562878464,0.24951171875,4.0,4.24951171875
32768,8,1,1046528,1046528,1073741824,1.046528,8372224,4294967296,4303339520,0.0077972412109375,4.0,4.0077972412109375
32768,8,8,8372224,1046528,1073741824,8.372224,66977792,4294967296,4361945088,0.0623779296875,4.0,4.0623779296875
32768,8,64,66977792,1046528,1073741824,66.977792,535822336,4294967296,4830789632,0.4990234375,4.0,4.4990234375
32768,8,128,133955584,1046528,1073741824,133.955584,1071644672,4294967296,5366611968,0.998046875,4.0,4.998046875
32768,8,256,267911168,1046528,1073741824,267.911168,2143289344,4294967296,6438256640,1.99609375,4.0,5.99609375
32768,64,1,8372224,8372224,1073741824,8.372224,66977792,4294967296,4361945088,0.0623779296875,4.0,4.0623779296875
32768,64,8,66977792,8372224,1073741824,66.977792,535822336,4294967296,4830789632,0.4990234375,4.0,4.4990234375
32768,64,64,535822336,8372224,1073741824,535.822336,4286578688,4294967296,8581545984,3.9921875,4.0,7.9921875
32768,64,128,1071644672,8372224,1073741824,1071.644672,8573157376,4294967296,12868124672,7.984375,4.0,11.984375
32768,64,256,2143289344,8372224,1073741824,2143.289344,17146314752,4294967296,21441282048,15.96875,4.0,19.96875
32768,128,1,16744448,16744448,1073741824,16.744448,133955584,4294967296,4428922880,0.124755859375,4.0,4.124755859375
32768,128,8,133955584,16744448,1073741824,133.955584,1071644672,4294967296,5366611968,0.998046875,4.0,4.998046875
32768,128,64,1071644672,16744448,1073741824,1071.644672,8573157376,4294967296,12868124672,7.984375,4.0,11.984375
32768,128,128,2143289344,16744448,1073741824,2143.289344,17146314752,4294967296,21441282048,15.96875,4.0,19.96875
32768,128,256,4286578688,16744448,1073741824,4286.578688,34292629504,4294967296,38587596800,31.9375,4.0,35.9375
32768,256,1,33488896,33488896,1073741824,33.488896,267911168,4294967296,4562878464,0.24951171875,4.0,4.24951171875
32768,256,8,267911168,33488896,1073741824,267.911168,2143289344,4294967296,6438256640,1.99609375,4.0,5.99609375
32768,256,64,2143289344,33488896,1073741824,2143.289344,17146314752,4294967296,21441282048,15.96875,4.0,19.96875
32768,256,128,4286578688,33488896,1073741824,4286.578688,34292629504,4294967296,38587596800,31.9375,4.0,35.9375
32768,256,256,8573157376,33488896,1073741824,8573.157376,68585259008,4294967296,72880226304,63.875,4.0,67.875
