image_size,timesteps,channels,gridder_s,sub_fft_s,wtiling_s,known_kernel_s,wall_s,n_runs,input_disk_gib,output_gib,total_disk_gib,other_wsclean_s
8192,128,128,1.302435,0.0183683,2.063369,3.3841722999999995,1141.16,1,15.96875,0.25,16.21875,1137.7758277
8192,128,256,2.5385000000000004,0.029355399999999997,3.65815,6.2260054,2119.09,1,31.9375,0.25,32.1875,2112.8639946000003
8192,256,1,0.155185,0.0166941,0.21897299999999997,0.3908520999999999,242.97,1,0.24951171875,0.25,0.49951171875,242.5791479
8192,256,8,0.260877,0.018625199999999998,0.40629099999999996,0.6857932,366.9,1,1.99609375,0.25,2.24609375,366.2142068
8192,256,64,1.3128798,0.021547200000000002,2.101302,3.4357290000000003,1230.0,1,15.96875,0.25,16.21875,1226.564271
8192,256,128,2.5369050000000004,0.03198619999999999,4.066800000000001,6.635691200000001,2196.39,1,31.9375,0.25,32.1875,2189.7543087999998
8192,256,256,5.011769999999999,0.0351574,7.7270600000000025,12.773987400000003,4174.0,1,63.875,0.25,64.125,4161.2260126
16384,1,1,0.012714,0.0,0.11859,0.131304,44.72,1,0.0009746551513671,1.0,1.0009746551513672,44.588696
16384,1,8,0.011656,0.0010581,0.10053,0.11324409999999999,43.1,1,0.0077972412109375,1.0,1.0077972412109375,42.9867559
16384,1,64,0.01266,0.001528,0.095369,0.10955699999999999,46.36,1,0.0623779296875,1.0,1.0623779296875,46.250443
16384,1,128,0.016877,0.001683,0.097227,0.115787,50.19,1,0.124755859375,1.0,1.124755859375,50.074213
16384,1,256,0.02862,0.0017979,0.11449,0.1449079,62.14,1,0.24951171875,1.0,1.24951171875,61.9950921
16384,8,1,0.06229900000000001,0.0087151,0.141642,0.21265610000000001,52.56,1,0.0077972412109375,1.0,1.0077972412109375,52.347343900000006
16384,8,8,0.06476399999999999,0.0077617,0.127313,0.19983869999999998,54.4,1,0.0623779296875,1.0,1.0623779296875,54.2001613
16384,8,64,0.08364100000000001,0.008189,0.13665,0.22848000000000002,80.21000000000001,1,0.4990234375,1.0,1.4990234375,79.98152
16384,8,128,0.120585,0.0057721000000000005,0.172553,0.2989101,109.9,1,0.998046875,1.0,1.998046875,109.6010899
16384,8,256,0.21395799999999998,0.0089278,0.264834,0.4877198,173.63,1,1.99609375,1.0,2.99609375,173.1422802
16384,64,1,0.17628300000000002,0.0224404,0.249591,0.4483144,96.05,1,0.0623779296875,1.0,1.0623779296875,95.6016856
16384,64,8,0.203005,0.0234821,0.274455,0.5009421000000001,125.56,1,0.4990234375,1.0,1.4990234375,125.0590579
16384,64,64,0.4636261,0.0242538,0.6444721,1.132352,337.18,1,3.9921875,1.0,4.9921875,336.047648
16384,64,128,0.817661,0.0253634,1.140751,1.9837754,565.05,1,7.984375,1.0,8.984375,563.0662245999999
16384,64,256,1.5578349999999996,0.034658,2.112864,3.705357,1060.88,1,15.96875,1.0,16.96875,1057.174643
