threads,stage,sample_count,median_gb_per_joule,mean_gb_per_joule,median_bandwidth_gbs,median_power_w,median_time_s,median_gb_per_joule_from_time_energy,metric
1,gridder,32,3.178941968716403,3.195848974283703,137.11,43.275,0.183675,3.177798367085427,gb_per_joule
16,gridder,32,3.12152084762117,3.351613760273248,137.12,44.175,0.184095,3.12223544642655,gb_per_joule
32,gridder,32,3.1427438312426377,3.206010230535713,137.04500000000002,43.92,0.18371,3.142790686881188,gb_per_joule
64,gridder,32,3.140830206526056,3.445824048631686,136.64499999999998,43.735,0.18404500000000001,3.1407942135239657,gb_per_joule
1,sub-fft,32,61.46785418765033,223.13727972922095,5491.76,81.15,0.0024453499999999998,,gb_per_joule
16,sub-fft,32,60.85838587713402,129.46592664889815,6347.33,80.625,0.0021370499999999997,,gb_per_joule
32,sub-fft,32,71.18459819528186,243.9447609672911,5980.045,72.75,0.0022479500000000003,,gb_per_joule
64,sub-fft,32,70.26931948592443,181.241605699701,6353.04,76.87,0.00213395,,gb_per_joule
1,gridder + sub-fft,32,4.766503610107937,4.786179490560546,5628.87,125.00999999999999,0.18631465,4.766503610107937,gb_per_joule
16,gridder + sub-fft,32,4.666689639106016,5.01833863191588,6485.53,124.845,0.1860494,4.666689639106016,gb_per_joule
32,gridder + sub-fft,32,4.712596692618489,4.815758981066219,6117.52,114.78999999999999,0.18625799999999998,4.712596692618489,gb_per_joule
64,gridder + sub-fft,32,4.715422379507048,5.1673376683365815,6491.0,120.805,0.18634495,4.715422379507048,gb_per_joule
1,device gridding,32,4.3616137020805,4.278215922498317,,230.375,0.26544,,mvis_per_joule
16,device gridding,32,3.7717557898761265,4.061730867738928,,266.49,0.26570499999999997,,mvis_per_joule
32,device gridding,31,3.884747302142545,3.929699607045298,,258.57,0.26579,,mvis_per_joule
64,device gridding,32,4.0737488671786,3.9926247303704456,,246.965,0.265645,,mvis_per_joule
