run_id,timesteps,channels,n_gridding_samples,n_gridder_calls,throughput_median,throughput_min,throughput_max,gridder_total_s,gridder_mean_s,gridder_std_s,gridder_var_s2,gridder_gflops_mean,gridder_gflops_std,gridder_gbs_mean,gridder_gbs_std,gridder_watt_mean,gridder_watt_std,gridder_gflops_w_mean,gridder_gflops_w_std,gridder_joules_total,gridder_joules_mean,gridder_joules_std,wall_s,nongridder_s,image_size,n_vis,e2e_mvis_s,gridder_fraction_pct
4794,64,1,1,5,40.8,40.8,40.8,0.113078,0.0226156,0.007342771209836243,5.391628904e-05,3222.732,633.1521403075251,1085.1480000000001,14.853433811748715,160.752,1.0414489905895534,20.072,4.058292251674342,18.18,3.636,1.1936096514355101,87.58,87.466922,8192,8372224.0,0.09559515871203471,0.1291139529572962
4795,64,8,1,5,301.05,301.05,301.05,0.134083,0.026816600000000003,0.007625498583043604,5.814822864000001e-05,9487.612000000001,2544.6772537938878,917.902,59.111703883410435,236.91199999999998,99.14170734862296,50.620000000000005,26.091255240022473,30.560000000000002,6.112,2.88810941620985,119.96000000000001,119.825917,8192,66977792.0,0.5583343781260419,0.11177309103034344
4796,64,64,3,6,889.91,351.0,959.96,0.372321,0.062053500000000004,0.024686055637073063,0.0006094013429166667,22911.131666666668,1622.631289268726,429.0366666666667,100.8564361963193,294.32,137.72223531441827,99.78666666666668,48.22678497359003,102.18999999999998,17.031666666666663,9.851653696489516,335.11,334.737679,8192,535822336.0,1.5989446331055472,0.11110411506669453
4797,64,128,5,9,918.17,642.22,958.61,0.674456,0.07493955555555556,0.044348058787808446,0.001966750318246914,25067.193333333333,958.7198885319253,289.2733333333333,63.37723829051983,281.2688888888889,120.39084723834048,106.73111111111112,42.777011594870146,149.6,16.62222222222222,6.648982842473439,588.26,587.585544,8192,1071644672.0,1.8217194301839321,0.11465270458640738
4857,64,256,8,16,950.275,947.8,951.69,1.294433,0.0809020625,0.0688622944410335,0.004742015595683593,25669.95125,1250.9774113511946,199.819375,44.08318109959143,318.55125,118.78882953980774,94.73,39.71490416078075,325.74,20.35875,17.154879726698756,1078.63,1077.335567,8192,2143289344.0,1.987047777273022,0.12000713868518396
4838,256,1,1,6,128.34,128.34,128.34,0.155185,0.025864166666666664,0.00743674795450867,5.530522013888888e-05,6593.648333333334,1647.2855130225266,976.3333333333334,64.58440953942025,222.745,66.78353258850568,34.01166666666667,15.388292537582663,34.28,5.713333333333334,2.4719942466671636,242.97,242.814815,8192,33488896.0,0.13783140305387495,0.06387002510598017
4839,256,8,2,6,407.86,93.83,721.89,0.260877,0.043479500000000004,0.012084697868930499,0.00014603992258333334,17619.10666666667,3172.012049523492,653.5583333333333,157.99186871657525,289.9866666666667,131.71073110756348,77.33833333333332,40.32246578797261,80.49000000000001,13.415000000000001,7.725655851339312,366.9,366.639123,8192,267911168.0,0.7302021477241755,0.07110302534750614
4840,256,64,10,19,895.065,487.47,936.21,1.3128798000000002,0.06909893684210527,0.05855012070093371,0.003428116634093906,25657.875789473685,1194.093906433774,235.40947368421052,54.20907464075735,303.4247368421053,131.24607215650187,102.90736842105264,43.49209182103718,285.8,15.042105263157895,11.577512494826644,1230.0,1228.6871202,8192,2143289344.0,1.7425116617886178,0.10673819512195122
4841,256,128,19,19,916.33,380.82,939.03,2.5369050000000004,0.1335213157894737,0.02383409553792221,0.0005680641101108034,27011.90052631579,495.2392960396297,153.5557894736842,55.5027044685581,231.55999999999997,66.29348947949883,125.61315789473684,32.132110362431696,593.4499999999999,31.234210526315785,10.750344090350868,2196.39,2193.853095,8192,4286578688.0,1.9516473340344838,0.11550339420594706
4859,256,256,32,32,952.6800000000001,948.38,956.02,5.01177,0.1566178125,0.0004646620705886702,2.1591083984375033e-07,27328.613437499997,79.69449042316948,110.08875,0.688443670535216,237.19656250000003,58.22802668224808,122.15156250000001,28.979084387426628,1188.61,37.1440625,9.096596842835993,4174.0,4168.98823,8192,8573157376.0,2.0539428308576904,0.12007115476760902
