run_bundle,bundle_dir,summary_file_count,parsed_summary_count,mean_total_logs,mean_runtime_s,max_runtime_s,status,note
slurm-2627204_wsc_dirty_t0-255_c0-255_16384pix_20deg_1cores_darshan,/Users/nisa/code/astroCAMP-bench/profiling_gpu2/slurm-2627204_wsc_dirty_t0-255_c0-255_16384pix_20deg_1cores_darshan,108,108,574.8148148148148,706.3347655358137,1209.8216309547424,parsed_summary_dxt_csv,Parsed Darshan summary.dxt.csv files
slurm-2627205_wsc_dirty_t0-255_c0-255_16384pix_20deg_16cores_darshan,/Users/nisa/code/astroCAMP-bench/profiling_gpu2/slurm-2627205_wsc_dirty_t0-255_c0-255_16384pix_20deg_16cores_darshan,108,108,574.8148148148148,714.3748218152258,1223.6075549125671,parsed_summary_dxt_csv,Parsed Darshan summary.dxt.csv files
slurm-2627206_wsc_dirty_t0-255_c0-255_16384pix_20deg_32cores_darshan,/Users/nisa/code/astroCAMP-bench/profiling_gpu2/slurm-2627206_wsc_dirty_t0-255_c0-255_16384pix_20deg_32cores_darshan,0,0,,,,empty_bundle,No Darshan summary.dxt.csv files found in bundle
slurm-2627207_wsc_dirty_t0-255_c0-255_16384pix_20deg_64cores_darshan,/Users/nisa/code/astroCAMP-bench/profiling_gpu2/slurm-2627207_wsc_dirty_t0-255_c0-255_16384pix_20deg_64cores_darshan,0,0,,,,empty_bundle,No Darshan summary.dxt.csv files found in bundle
